"location","age_group","year","week","date","value_0w","value_1w","value_2w","value_3w","value_4w","value_5w","value_6w","value_7w","value_8w","value_9w","value_10w","value_.10w"
"DE","00+",2024,40,"2024-10-06",14792,2271,392,-45,-248,105,-142,119,-106,-46,-18,-519
"DE","00+",2024,41,"2024-10-13",15307,3185,202,-80,-36,122,71,-83,73,-71,0,-352
"DE","00+",2024,42,"2024-10-20",14572,3128,507,-28,198,11,-84,25,-202,0,0,72
"DE","00+",2024,43,"2024-10-27",16555,2413,191,72,-74,118,-18,19,0,0,188,-284
"DE","00+",2024,44,"2024-11-03",16287,3030,541,312,-308,81,-129,0,0,258,0,-854
"DE","00+",2024,45,"2024-11-10",16787,2405,1009,464,-101,-71,0,0,321,0,0,-194
"DE","00+",2024,46,"2024-11-17",18058,3330,669,36,267,0,0,188,0,0,0,-1090
"DE","00+",2024,47,"2024-11-24",17029,3226,573,223,0,0,510,-102,0,102,0,-829
"DE","00+",2024,48,"2024-12-01",17857,2040,602,0,0,677,1,18,82,0,-301,-543
"DE","00+",2024,49,"2024-12-08",18881,2749,0,0,1119,118,-6,-12,-18,-202,-394,-18
"DE","00+",2024,50,"2024-12-15",20302,0,0,4470,-22,0,0,-3,-335,-442,0,130
"DE","00+",2024,51,"2024-12-22",0,0,24851,281,178,-261,-108,-92,-723,0,102,-65
"DE","00+",2024,52,"2024-12-29",0,23510,476,-22,296,-46,-783,-565,-54,-101,0,15
"DE","00+",2025,1,"2025-01-05",21530,4997,702,-46,-449,269,33,-83,-55,1,-83,0
"DE","00+",2025,2,"2025-01-12",24272,2110,417,-178,-393,-218,129,28,0,19,-143,0
"DE","00+",2025,3,"2025-01-19",23978,1994,1051,-235,-373,-139,-174,7,-13,1,0,-18
"DE","00+",2025,4,"2025-01-26",28716,4995,790,-170,-179,-7,-47,39,36,-101,-18,0
"DE","00+",2025,5,"2025-02-02",33686,3277,-80,-331,-77,216,-196,-118,-149,-48,NA,NA
"DE","00+",2025,6,"2025-02-09",32556,1577,884,595,-187,-52,-121,-157,113,NA,NA,NA
"DE","00+",2025,7,"2025-02-16",31593,6390,779,593,-361,-149,-11,-7,NA,NA,NA,NA
"DE","00+",2025,8,"2025-02-23",34115,5571,848,389,-323,-128,-228,NA,NA,NA,NA,NA
"DE","00+",2025,9,"2025-03-02",33977,3922,899,97,511,462,NA,NA,NA,NA,NA,NA
"DE","00+",2025,10,"2025-03-09",29215,3726,168,626,-132,NA,NA,NA,NA,NA,NA,NA
"DE","00+",2025,11,"2025-03-16",25386,4011,522,122,NA,NA,NA,NA,NA,NA,NA,NA
"DE","00+",2025,12,"2025-03-23",23249,3981,346,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE","00+",2025,13,"2025-03-30",21799,3526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE","00+",2025,14,"2025-04-06",18214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
